fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,quality
7.2,0.19,0.31,1.6,0.062,31,6
6.6,0.25,0.29,1.1,0.068,39,7
6.2,0.16,0.33,1.1,0.057,21,7
6.4,0.18,0.35,1,0.045,39,6
6.8,0.2,0.59,0.9,0.147,38,6
6.9,0.25,0.35,1.3,0.039,29,6
7.2,0.21,0.34,11.9,0.043,37,6
6,0.19,0.26,12.4,0.048,50,6
6.6,0.38,0.15,4.6,0.044,25,6
7.4,0.2,0.36,1.2,0.038,44,6
6.8,0.22,0.24,4.9,0.092,30,6
6,0.19,0.26,12.4,0.048,50,6
7,0.47,0.07,1.1,0.035,17,5
6.6,0.38,0.15,4.6,0.044,25,6
7.2,0.24,0.27,1.4,0.038,31,6
6.2,0.35,0.03,1.2,0.064,29,5
6.4,0.26,0.24,6.4,0.04,27,7
6.7,0.25,0.13,1.2,0.041,81,5
6.7,0.23,0.31,2.1,0.046,30,8
7.4,0.24,0.29,10.1,0.05,21,5
6.2,0.27,0.43,7.8,0.056,48,6
6.8,0.3,0.23,4.6,0.061,50.5,5
6,0.27,0.28,4.8,0.063,31,5
8.6,0.23,0.46,1,0.054,9,6
6.7,0.23,0.31,2.1,0.046,30,8
7.4,0.24,0.29,10.1,0.05,21,5
7.1,0.18,0.36,1.4,0.043,31,7
7,0.32,0.34,1.3,0.042,20,7
7.4,0.18,0.3,8.8,0.064,26,5
6.7,0.54,0.28,5.4,0.06,21,5
6.8,0.22,0.31,1.4,0.053,34,6
7.1,0.2,0.34,16,0.05,51,6
7.1,0.34,0.2,6.1,0.063,47,5
7.3,0.22,0.3,8.2,0.047,42,6
7.1,0.43,0.61,11.8,0.045,54,5
7.1,0.44,0.62,11.8,0.044,52,6
7.2,0.39,0.63,11,0.044,55,6
6.8,0.25,0.31,13.3,0.05,69,6
7.1,0.43,0.61,11.8,0.045,54,5
7.1,0.44,0.62,11.8,0.044,52,6
7.2,0.39,0.63,11,0.044,55,6
6.1,0.27,0.43,7.5,0.049,65,5
6.9,0.24,0.33,1.7,0.035,47,7
6.9,0.21,0.33,1.8,0.034,48,7
7.5,0.17,0.32,1.7,0.04,51,7
7.1,0.26,0.29,12.4,0.044,62,6
6,0.34,0.66,15.9,0.046,26,6
8.6,0.265,0.36,1.2,0.034,15,7
9.8,0.36,0.46,10.5,0.038,4,4
6,0.34,0.66,15.9,0.046,26,6
7.4,0.25,0.37,13.5,0.06,52,5
7.1,0.12,0.32,9.6,0.054,64,5
6,0.21,0.24,12.1,0.05,55,5
7.5,0.305,0.4,18.9,0.059,44,5
7.4,0.25,0.37,13.5,0.06,52,5
7.3,0.13,0.32,14.4,0.051,34,6
7.1,0.12,0.32,9.6,0.054,64,5
7.1,0.23,0.35,16.5,0.04,60,6
7.1,0.23,0.35,16.5,0.04,60,6
6.9,0.33,0.28,1.3,0.051,37,5
6.5,0.17,0.54,8.5,0.082,64,6
7.2,0.27,0.46,18.75,0.052,45,5
7.2,0.31,0.5,13.3,0.056,68,5
6.7,0.41,0.34,9.2,0.049,29,5
6.7,0.41,0.34,9.2,0.049,29,5
5.5,0.485,0,1.5,0.065,8,4
6,0.31,0.24,3.3,0.041,25,6
7,0.14,0.4,1.7,0.035,16,6
7.2,0.31,0.5,13.3,0.056,68,5
7.3,0.32,0.48,13.3,0.06,57,5
5.9,0.36,0.04,5.7,0.046,21,5
7.8,0.24,0.32,12.2,0.054,42,5
7.4,0.16,0.31,6.85,0.059,31,5
6.9,0.19,0.28,5,0.058,14,6
6.4,0.13,0.47,1.6,0.092,40,6
6.7,0.19,0.36,1.1,0.026,63,6
7.4,0.39,0.23,7,0.033,29,5
6.5,0.24,0.32,7.6,0.038,48,7
6.1,0.3,0.56,2.8,0.044,47,7
6.1,0.3,0.56,2.7,0.046,46,6
5.7,0.26,0.25,10.4,0.02,7,5
6.5,0.24,0.32,7.6,0.038,48,7
6.5,0.425,0.4,13.1,0.038,59,5
6.6,0.24,0.27,15.8,0.035,46,5
6.8,0.27,0.22,8.1,0.034,55,5
6.7,0.27,0.31,15.7,0.036,44,5
8.2,0.23,0.4,1.2,0.027,36,6
7.1,0.37,0.67,10.5,0.045,49,5
6.8,0.19,0.36,1.9,0.035,30,7
8.1,0.28,0.39,1.9,0.029,18,6
6.3,0.31,0.34,2.2,0.045,20,5
7.1,0.37,0.67,10.5,0.045,49,5
7.9,0.21,0.4,1.2,0.039,38,6
8.5,0.21,0.41,4.3,0.036,24,6
8.1,0.2,0.4,2,0.037,19,6
6.3,0.255,0.37,1.1,0.04,37,6
5.6,0.16,0.27,1.4,0.044,53,6
6.4,0.595,0.14,5.2,0.058,15,4
6.3,0.34,0.33,4.6,0.034,19,7
6.9,0.25,0.3,4.1,0.054,23,6
7.9,0.22,0.38,8,0.043,46,7
7.6,0.18,0.46,10.2,0.055,58,6
6.9,0.25,0.3,4.1,0.054,23,6
7.2,0.18,0.41,1.2,0.048,41,5
8.2,0.23,0.4,7.5,0.049,12,6
7.4,0.24,0.42,14,0.066,48,6
7.4,0.24,0.42,14,0.066,48,6
6.1,0.32,0.24,1.5,0.036,38,7
5.2,0.44,0.04,1.4,0.036,43,8
5.2,0.44,0.04,1.4,0.036,43,8
6.1,0.32,0.24,1.5,0.036,38,7
6.4,0.22,0.56,14.5,0.055,27,5
6.3,0.36,0.3,4.8,0.049,14,5
7.4,0.24,0.42,14,0.066,48,6
6.7,0.24,0.35,13.1,0.05,64,5
7,0.23,0.36,13,0.051,72,5
8.4,0.27,0.46,8.7,0.048,39,6
6.7,0.46,0.18,2.4,0.034,25,7
7.5,0.29,0.31,8.95,0.055,20,5
9.8,0.42,0.48,9.85,0.034,5,5
7.1,0.3,0.46,1.5,0.066,29,6
7.9,0.19,0.45,1.5,0.045,17,6
7.6,0.48,0.37,0.8,0.037,4,4
6.3,0.22,0.43,4.55,0.038,31,7
7.5,0.27,0.31,17.7,0.051,33,5
6.9,0.23,0.4,7.5,0.04,50,6
7.2,0.32,0.47,5.1,0.044,19,4
5.9,0.23,0.3,12.9,0.054,57,5
6,0.67,0.07,1.2,0.06,9,4
6.4,0.25,0.32,5.5,0.049,41,6
6.4,0.33,0.31,5.5,0.048,42,6
7.1,0.34,0.15,1.2,0.053,61,5
6.8,0.28,0.4,22,0.048,48,5
6.9,0.27,0.4,14,0.05,64,6
6.8,0.26,0.56,11.9,0.043,64,5
6.8,0.29,0.56,11.9,0.043,66,5
6.7,0.24,0.41,9.4,0.04,49,6
5.9,0.3,0.23,4.2,0.038,42,5
6.8,0.53,0.35,3.8,0.034,26,8
6.5,0.28,0.28,8.5,0.047,54,4
6.6,0.28,0.28,8.5,0.052,55,6
6.8,0.28,0.4,22,0.048,48,5
6.8,0.28,0.36,8,0.045,28,6
6.6,0.15,0.34,5.1,0.055,34,5
6.4,0.29,0.44,3.6,0.2,75,5
6.4,0.3,0.45,3.5,0.197,76,6
6.4,0.29,0.44,3.6,0.197,75,5
6.8,0.26,0.24,7.8,0.052,54,5
7.1,0.32,0.24,13.1,0.05,52,5
6.8,0.26,0.24,7.8,0.052,54,5
6.8,0.27,0.26,16.1,0.049,55,5
7.1,0.32,0.24,13.1,0.05,52,5
6.9,0.54,0.32,13.2,0.05,53,5
6.8,0.26,0.34,13.9,0.034,39,6
5.8,0.28,0.35,2.3,0.053,36,4
6.4,0.21,0.5,11.6,0.042,45,5
7,0.16,0.32,8.3,0.045,38,5
10.2,0.44,0.88,6.2,0.049,20,4
6.8,0.57,0.29,2.2,0.04,15,5
6.1,0.4,0.31,0.9,0.048,23,6
5.6,0.245,0.25,9.7,0.032,12,5
6.8,0.18,0.38,1.4,0.038,35,7
7,0.16,0.32,8.3,0.045,38,5
6.7,0.13,0.29,5.3,0.051,31,6
6.2,0.25,0.25,1.4,0.03,35,7
5.8,0.26,0.24,9.2,0.044,55,5
7.5,0.27,0.36,7,0.036,45,5
5.8,0.26,0.24,9.2,0.044,55,5
5.7,0.28,0.24,17.5,0.044,60,5
7.5,0.23,0.36,7,0.036,43,5
7.5,0.27,0.36,7,0.036,45,5
7.2,0.685,0.21,9.5,0.07,33,6
6.2,0.25,0.25,1.4,0.03,35,7
6.5,0.19,0.3,0.8,0.043,33,6
6.3,0.495,0.22,1.8,0.046,31,6
7.1,0.24,0.41,17.8,0.046,39,5
6.4,0.17,0.32,2.4,0.048,41,6
7.1,0.25,0.32,10.3,0.041,66,6
6.4,0.17,0.32,2.4,0.048,41,6
7.1,0.24,0.41,17.8,0.046,39,5
6.8,0.64,0.08,9.7,0.062,26,4
8.3,0.28,0.4,7.8,0.041,38,6
8.2,0.27,0.39,7.8,0.039,49,6
7.2,0.23,0.38,14.3,0.058,55,6
7.2,0.23,0.38,14.3,0.058,55,6
7.2,0.23,0.38,14.3,0.058,55,6
7.2,0.23,0.38,14.3,0.058,55,6
6.8,0.52,0.32,13.2,0.044,54,6
7,0.26,0.59,1.4,0.037,40,7
6.2,0.25,0.21,15.55,0.039,28,6
7.3,0.32,0.23,13.7,0.05,49,5
7.7,0.31,0.26,7.8,0.031,23,5
7.1,0.21,0.37,2.4,0.026,23,7
6.8,0.24,0.34,2.7,0.047,64.5,6
6.9,0.4,0.56,11.2,0.043,40,5
6.1,0.18,0.36,2,0.038,20,6
6.8,0.21,0.27,2.1,0.03,26,7
5.8,0.2,0.27,1.4,0.031,12,7
5.6,0.19,0.26,1.4,0.03,12,7
6.1,0.41,0.14,10.4,0.037,18,5
5.9,0.21,0.28,4.6,0.053,40,4
8.5,0.26,0.21,16.2,0.074,41,3
6.9,0.4,0.56,11.2,0.043,40,5
5.8,0.24,0.44,3.5,0.029,5,3
5.8,0.24,0.39,1.5,0.054,37,6
6.7,0.26,0.39,1.1,0.04,45,8
6.3,0.35,0.3,5.7,0.035,8,7
6.3,0.35,0.3,5.7,0.035,8,7
6.4,0.23,0.39,1.8,0.032,23,6
5.8,0.36,0.38,0.9,0.037,3,4
6.9,0.115,0.35,5.4,0.048,36,6
6.9,0.29,0.4,19.45,0.043,36,5
6.9,0.28,0.4,8.2,0.036,15,5
7.2,0.29,0.4,13.6,0.045,66,6
6.2,0.24,0.35,1.2,0.038,22,6
6.9,0.29,0.4,19.45,0.043,36,5
6.9,0.32,0.26,8.3,0.053,32,6
5.3,0.58,0.07,6.9,0.043,34,5
5.3,0.585,0.07,7.1,0.044,34,6
5.4,0.59,0.07,7,0.045,36,6
6.9,0.32,0.26,8.3,0.053,32,6
5.2,0.6,0.07,7,0.044,33,5
5.8,0.25,0.26,13.1,0.051,44,5
6.6,0.58,0.3,5.1,0.057,30,5
7,0.29,0.54,10.7,0.046,59,5
6.6,0.19,0.41,8.9,0.046,51,6
6.7,0.2,0.41,9.1,0.044,50,6
7.7,0.26,0.4,1.1,0.042,9,5
6.8,0.32,0.34,1.2,0.044,14,4
7,0.3,0.49,4.7,0.036,17,7
7,0.24,0.36,2.8,0.034,22,8
6.1,0.31,0.58,5,0.039,36,8
6.8,0.44,0.37,5.1,0.047,46,4
6.7,0.34,0.3,15.6,0.054,51,5
7.1,0.35,0.24,15.4,0.055,46,5
7.3,0.32,0.25,7.2,0.056,47,5
6.5,0.28,0.33,15.7,0.053,51,6
7.2,0.23,0.39,14.2,0.058,49,7
7.2,0.23,0.39,14.2,0.058,49,7
7.2,0.23,0.39,14.2,0.058,49,7
7.2,0.23,0.39,14.2,0.058,49,7
5.9,0.15,0.31,5.8,0.041,53,6
7.4,0.28,0.42,19.8,0.066,53,5
6.2,0.28,0.22,7.3,0.041,26,7
9.1,0.59,0.38,1.6,0.066,34,3
6.3,0.33,0.27,1.2,0.046,34,6
8.3,0.39,0.7,10.6,0.045,33,5
7.2,0.19,0.46,3.8,0.041,82,7
7.5,0.17,0.44,11.3,0.046,65,6
6.7,0.17,0.5,2.1,0.043,27,6
6.1,0.41,0,1.6,0.063,36,6
8.3,0.2,0.35,0.9,0.05,12,6
6.1,0.41,0,1.6,0.063,36,6
6,0.29,0.21,1.3,0.055,42,6
7.3,0.41,0.24,6.8,0.057,41,6
7.3,0.41,0.24,6.8,0.057,41,6
7.2,0.43,0.24,6.7,0.058,40,5
7.3,0.4,0.24,6.7,0.058,41,6
6.2,0.33,0.27,4.9,0.036,30,7
6.2,0.31,0.26,4.8,0.037,36,6
6.1,0.36,0.27,2.1,0.035,16,7
5,0.55,0.14,8.3,0.032,35,8
7.8,0.25,0.41,3.7,0.042,37,6
5.7,0.36,0.21,6.7,0.038,51,6
5.8,0.34,0.21,6.6,0.04,50,5
6.8,0.28,0.6,1.1,0.132,42,6
6.8,0.25,0.34,4.7,0.031,34,6
6.6,0.24,0.35,7.7,0.031,36,5
5.9,0.3,0.47,7.85,0.03,19,7
6.1,0.125,0.25,3.3,0.04,10,6
6,0.1,0.24,1.1,0.041,15,7
6.6,0.24,0.35,7.7,0.031,36,5
6.8,0.25,0.34,4.7,0.031,34,6
6.8,0.28,0.44,9.3,0.031,35,6
8.3,0.41,0.51,2,0.046,11,5
7.5,0.27,0.31,5.8,0.057,131,5
7.9,0.26,0.41,15.15,0.04,38,6
6.4,0.34,0.23,6.3,0.039,37,6
6.5,0.28,0.35,15.4,0.042,55,6
7.2,0.21,0.41,1.3,0.036,33,5
6.4,0.32,0.35,4.8,0.03,34,8
6.8,0.24,0.34,4.6,0.032,37,5
6.3,0.23,0.3,1.8,0.033,16,6
6.5,0.28,0.34,9.9,0.038,30,5
5.6,0.26,0.26,5.7,0.031,12,5
6.3,0.23,0.3,1.8,0.033,16,6
6.3,0.23,0.33,1.5,0.036,15,6
5.8,0.27,0.27,12.3,0.045,55,6
5.9,0.26,0.4,1.3,0.047,12,5
6.6,0.18,0.35,1.5,0.049,49,7
7.4,0.2,0.43,7.8,0.045,27,7
8,0.24,0.36,1.5,0.047,17,6
6.4,0.26,0.42,9.7,0.044,30,6
5.4,0.31,0.47,3,0.053,46,5
5.4,0.29,0.47,3,0.052,47,6
7.1,0.145,0.33,4.6,0.05,33,6
5.6,0.34,0.1,1.3,0.031,20,7
6.7,0.19,0.41,15.6,0.056,75,6
7.8,0.18,0.46,13.6,0.052,38,6
7.6,0.17,0.45,11.2,0.054,56,5
6.3,0.12,0.36,2.1,0.044,47,7
7.3,0.33,0.4,6.85,0.038,32,7
5.5,0.335,0.3,2.5,0.071,27,6
7.3,0.33,0.4,6.85,0.038,32,7
5.8,0.4,0.42,4.4,0.047,38.5,6
7.3,0.22,0.37,14.3,0.063,48,6
7.3,0.22,0.37,14.3,0.063,48,6
6.1,0.36,0.33,1.1,0.05,24,6
10,0.2,0.39,1.4,0.05,19,6
6.9,0.24,0.34,4.7,0.04,43,6
6.4,0.24,0.32,14.9,0.047,54,6
7.1,0.365,0.14,1.2,0.055,24,5
6.8,0.15,0.3,5.3,0.05,40,6
7.3,0.22,0.37,14.3,0.063,48,6
6.8,0.16,0.4,2.3,0.037,18,7
6,0.26,0.32,3.5,0.028,29,7
6,0.18,0.27,1.5,0.089,40,6
6.9,0.33,0.21,1,0.053,39,6
7.7,0.29,0.48,2.3,0.049,36,6
7.1,0.39,0.35,12.5,0.044,26,5
6.9,0.33,0.21,1,0.053,39,6
7.7,0.29,0.48,2.3,0.049,36,6
6.6,0.905,0.19,0.8,0.048,17,5
7.2,0.27,0.27,2.4,0.048,30,6
5.1,0.33,0.22,1.6,0.027,18,7
5.1,0.33,0.22,1.6,0.027,18,7
6.4,0.31,0.28,1.5,0.037,12,7
7.3,0.2,0.44,1.4,0.045,21,7
5.7,0.32,0.5,2.6,0.049,17,6
6.4,0.31,0.28,1.5,0.037,12,7
7.3,0.2,0.44,1.4,0.045,21,7
7.2,0.28,0.26,12.5,0.046,48,6
7.5,0.35,0.28,9.6,0.051,26,6
7.2,0.27,0.27,2.4,0.048,30,6
6,0.36,0.39,3.2,0.027,20,7
5.1,0.33,0.22,1.6,0.027,18,7
5,0.17,0.56,1.5,0.026,24,7
6.3,0.39,0.35,5.9,0.04,82.5,5
6.7,0.21,0.32,5.4,0.047,29,6
7,0.3,0.38,14.9,0.032,60,7
7,0.3,0.38,14.9,0.032,60,7
6.5,0.36,0.32,1.1,0.031,13,5
6.1,0.55,0.15,9.8,0.031,19,6
7.3,0.24,0.43,2,0.021,20,6
6.8,0.37,0.51,11.8,0.044,62,5
6.8,0.27,0.12,1.3,0.04,87,5
8.2,0.28,0.42,1.8,0.031,30,5
6.3,0.2,0.4,1.5,0.037,35,6
5.9,0.26,0.27,18.2,0.048,52,5
6.4,0.19,0.42,2.9,0.032,32,6
6.3,0.2,0.4,1.5,0.037,35,6
6.8,0.37,0.51,11.8,0.044,62,5
6.1,0.35,0.07,1.4,0.069,22,5
7.1,0.27,0.31,18.2,0.046,55,5
6.8,0.22,0.31,6.3,0.035,33,6
6.8,0.27,0.12,1.3,0.04,87,5
5.8,0.28,0.34,4,0.031,40,7
6.9,0.49,0.24,1.2,0.049,13,5
6.3,0.14,0.39,1.2,0.044,26,6
8.2,0.28,0.42,1.8,0.031,30,5
7.2,0.25,0.39,18.95,0.038,42,6
7.3,0.28,0.36,12.7,0.04,38,6
7.2,0.19,0.39,1.2,0.036,32,5
7.2,0.19,0.39,1.2,0.036,32,5
7.2,0.25,0.39,18.95,0.038,42,6
7.3,0.28,0.36,12.7,0.04,38,6
7.4,0.21,0.27,1.2,0.041,27,6
6.8,0.26,0.22,7.7,0.047,57,5
7.4,0.21,0.27,1.2,0.041,27,6
7.4,0.31,0.28,1.6,0.05,33,6
7,0.22,0.31,2.7,0.03,41,7
7,0.21,0.28,8.7,0.045,37,6
7,0.21,0.28,8.6,0.045,37,6
7,0.21,0.28,8.6,0.045,37,6
6.9,0.23,0.38,8.3,0.047,47,7
7,0.21,0.28,8.7,0.045,37,6
7,0.21,0.28,8.6,0.045,37,6
6.8,0.29,0.5,13.3,0.053,48,5
7.8,0.21,0.27,1.2,0.051,20,5
7.1,0.31,0.47,13.6,0.056,54,5
6.8,0.29,0.5,13.3,0.053,48,5
6.4,0.34,0.1,1.1,0.048,19,5
7.4,0.155,0.34,2.3,0.045,73.5,7
7.2,0.55,0.09,1.5,0.108,16,4
7,0.23,0.36,7.1,0.028,31,8
6.9,0.2,0.37,6.2,0.027,24,7
6.1,0.28,0.32,2.5,0.042,23,5
6.6,0.16,0.32,1.4,0.035,49,8
7.4,0.155,0.34,2.3,0.045,73.5,7
6.2,0.35,0.04,1.2,0.06,23,5
6.7,0.22,0.37,1.6,0.028,24,7
6.1,0.38,0.2,6.6,0.033,25,6
6,0.25,0.28,2.2,0.026,54,8
6.6,0.52,0.44,12.2,0.048,54,6
6.9,0.24,0.36,20.8,0.031,40,6
7.1,0.32,0.32,11,0.038,16,3
5.8,0.28,0.27,2.6,0.054,30,5
6.5,0.41,0.24,14,0.048,24,6
6.5,0.41,0.24,14,0.048,24,6
6.4,0.28,0.29,1.6,0.052,34,7
7.2,0.6,0.2,9.9,0.07,21,5
6.1,0.2,0.25,1.2,0.038,34,5
5.9,0.46,0.14,2.7,0.042,27,7
6,0.27,0.27,1.6,0.046,32,7
6.4,0.28,0.29,1.6,0.052,34,7
6.4,0.41,0.24,14,0.048,24,6
6.3,0.23,0.31,1.5,0.022,11,7
7.1,0.21,0.27,8.6,0.056,26,5
6,0.37,0.32,1,0.053,31,6
6.1,0.43,0.35,9.1,0.059,83,5
7.1,0.21,0.27,8.6,0.056,26,5
7,0.25,0.29,15.2,0.047,40,5
5.9,0.25,0.19,12.4,0.047,50,5
6.8,0.32,0.21,2.2,0.044,15,6
7.2,0.39,0.62,11,0.047,66,5
6.3,0.21,0.58,10,0.081,34,5
7,0.14,0.32,9,0.039,54,6
6.8,0.32,0.21,2.2,0.044,15,6
7.2,0.39,0.62,11,0.047,66,5
7.2,0.29,0.53,18.15,0.047,59,5
8.6,0.37,0.7,12.15,0.039,21,6
6.5,0.38,0.34,3.4,0.036,34,5
6.6,0.24,0.29,2,0.023,19,6
7,0.17,0.31,4.8,0.034,34,7
5.5,0.16,0.22,4.5,0.03,30,6
7,0.24,0.51,11,0.029,55,5
7.4,0.28,0.36,1.1,0.028,42,7
7,0.22,0.28,1.5,0.037,29,6
7.1,0.55,0.13,1.7,0.073,21,6
6.3,0.22,0.33,1.7,0.041,67,6
6.7,0.47,0.34,8.9,0.043,31,5
5.9,0.36,0.41,1.3,0.047,45,6
5.8,0.25,0.24,13.3,0.044,41,5
6.7,0.47,0.34,8.9,0.043,31,5
6.2,0.37,0.3,6.6,0.346,79,5
6.2,0.18,0.38,1.5,0.028,36,6
6,0.16,0.37,1.5,0.025,43,6
6.6,0.34,0.28,1.3,0.035,32,6
7.4,0.29,0.29,1.6,0.045,53,6
7.4,0.26,0.31,7.6,0.047,52,6
7,0.28,0.36,1,0.035,8,6
7.1,0.23,0.39,1.6,0.032,12,7
7.8,0.19,0.26,8.9,0.039,42,6
6.3,0.19,0.28,1.8,0.022,28,6
6.8,0.2,0.38,4.7,0.04,27,6
5.7,0.44,0.13,7,0.025,28,6
7.2,0.4,0.62,10.8,0.041,70,4
6.8,0.23,0.32,1.6,0.026,43,6
5.7,0.335,0.34,1,0.04,13,5
7.2,0.4,0.62,10.8,0.041,70,4
7.2,0.28,0.54,16.7,0.045,54,6
6.8,0.19,0.58,14.2,0.038,51,6
6.4,0.3,0.3,2.25,0.038,8,6
6.5,0.3,0.29,2.25,0.037,8,5
7.8,0.18,0.31,12.2,0.053,46,6
7.8,0.18,0.31,12.2,0.053,46,6
7.3,0.51,0.26,3.3,0.09,7,5
6,0.24,0.27,1.9,0.048,40,7
5.9,0.62,0.28,3.5,0.039,55,6
6,0.24,0.27,1.9,0.048,40,7
6.7,0.27,0.12,1.3,0.041,62,6
7.8,0.34,0.35,1.8,0.042,8,6
7.3,0.26,0.36,5.2,0.04,31,6
7.4,0.36,0.33,1.4,0.025,27,6
7.8,0.28,0.32,9,0.036,34,7
6.1,0.31,0.26,2.2,0.051,28,6
6.8,0.18,0.37,1.6,0.055,47,5
7.4,0.15,0.42,1.7,0.045,49,6
5.9,0.13,0.28,1.9,0.05,20,6
7.2,0.34,0.34,12.6,0.048,7,5
7.9,0.19,0.26,2.1,0.039,8,5
7.9,0.19,0.26,2.1,0.039,8,5
6.9,0.25,0.4,1.3,0.038,22,6
5.8,0.36,0.32,1.7,0.033,22,6
5.6,0.35,0.37,1,0.038,6,5
5.9,0.32,0.39,3.3,0.114,24,6
7.2,0.31,0.46,5,0.04,3,4
6.1,0.28,0.22,1.8,0.034,32,6
5.2,0.36,0.02,1.6,0.031,24,6
5.6,0.19,0.47,4.5,0.03,19,6
6.4,0.1,0.35,4.9,0.048,31,6
6.4,0.18,0.48,4,0.186,64,5
7.4,0.25,0.36,13.2,0.067,53,6
7.4,0.25,0.36,13.2,0.067,53,6
7.4,0.25,0.36,13.2,0.067,53,6
7.9,0.345,0.51,15.3,0.047,54,5
7.9,0.345,0.51,15.3,0.047,54,5
7.4,0.25,0.36,13.2,0.067,53,6
6.1,0.24,0.3,1.5,0.045,22,5
6.8,0.25,0.24,4.55,0.053,41,6
6.7,0.31,0.31,9.9,0.04,10,4
7.2,0.46,0.65,10.4,0.05,76,5
5.5,0.35,0.35,1.1,0.045,14,6
6.7,0.24,0.41,8.7,0.036,29,6
6.8,0.28,0.17,13.9,0.047,49,6
6.4,0.16,0.22,1.4,0.04,41,6
6.3,0.26,0.24,7.2,0.039,38,6
7.7,0.22,0.42,1.9,0.052,10,6
6.5,0.18,0.31,1.7,0.044,30,7
7.2,0.46,0.65,10.4,0.05,76,5
7,0.3,0.51,13.6,0.05,40,7
9.2,0.25,0.34,1.2,0.026,31,7
7.8,0.28,0.34,1.6,0.028,32,7
7,0.3,0.51,13.6,0.05,40,7
7.8,0.28,0.34,1.6,0.028,32,7
9.2,0.25,0.34,1.2,0.026,31,7
8.4,0.35,0.71,12.2,0.046,22,5
6.1,0.41,0.24,1.6,0.049,16,6
5.9,0.21,0.24,12.1,0.044,53,5
7.2,0.34,0.44,4.2,0.047,51,6
6.7,0.21,0.42,9.1,0.049,31,7
5.9,0.37,0.1,1.6,0.057,39,5
7.7,0.34,0.27,8.8,0.063,39,6
7.4,0.3,0.22,1.4,0.046,16,7
6.8,0.51,0.3,4.2,0.066,38,5
7.8,0.22,0.38,10.3,0.059,28,6
7.2,0.35,0.34,12.4,0.051,6,6
6,0.26,0.5,2.2,0.048,59,5
6.1,0.26,0.51,2.2,0.05,61,6
6.5,0.28,0.27,5.2,0.04,44,6
7.4,0.41,0.66,10.8,0.051,77,5
6.5,0.28,0.29,2.7,0.038,26,7
6.7,0.34,0.54,16.3,0.047,44,5
7.2,0.2,0.34,2.7,0.032,49,7
7.4,0.2,0.33,1.9,0.035,39,7
8.2,0.22,0.3,1.8,0.047,47,6
8.2,0.23,0.29,1.8,0.047,47,6
7.1,0.22,0.33,2.8,0.033,48,7
6.5,0.28,0.29,2.7,0.038,26,7
6,0.38,0.26,6,0.034,42,7
7.4,0.41,0.66,10.8,0.051,77,5
5.7,0.18,0.22,4.2,0.042,25,5
7.3,0.3,0.22,6.4,0.056,44,6
7.4,0.24,0.22,10.7,0.042,26,6
6.6,0.25,0.3,1.6,0.046,32,7
7.4,0.24,0.22,10.7,0.042,26,6
7.4,0.26,0.3,7.9,0.049,38,6
6.1,0.32,0.25,1.7,0.034,37,7
6.9,0.28,0.27,2.1,0.036,42,7
